type	latitude	longitude	altitude (m)	name	desc
T	44.103430000	5.222230000	404.0		
T	44.103600000	5.222750000	406.9		
T	44.103750000	5.223250000	409.2		
T	44.103820000	5.223460000	410.7		
T	44.104070000	5.224180000	414.0		
T	44.104100000	5.224270000	414.0		
T	44.104130000	5.224350000	414.0		
T	44.104200000	5.224630000	414.8		
T	44.104260000	5.224920000	416.0		
T	44.104330000	5.225230000	417.4		
T	44.104370000	5.225340000	418.0		
T	44.104500000	5.225610000	419.6		
T	44.104790000	5.225980000	424.0		
T	44.104790000	5.225980000	424.0		
T	44.104640000	5.226340000	424.2		
T	44.104620000	5.226400000	424.3		
T	44.104570000	5.226500000	424.3		
T	44.104570000	5.226500000	424.3		
T	44.104770000	5.227030000	427.2		
T	44.104880000	5.227390000	428.7		
T	44.105150000	5.228270000	435.8		
T	44.105260000	5.228600000	437.0		
T	44.105370000	5.228900000	438.7		
T	44.105490000	5.229170000	440.5		
T	44.105560000	5.229270000	441.4		
T	44.105640000	5.229360000	442.8		
T	44.105890000	5.229570000	447.3		
T	44.105970000	5.229650000	448.5		
T	44.106030000	5.229710000	449.3		
T	44.106080000	5.229790000	450.2		
T	44.106120000	5.229880000	451.1		
T	44.106240000	5.230140000	452.5		
T	44.106350000	5.230350000	454.0		
T	44.106410000	5.230450000	454.5		
T	44.106470000	5.230510000	454.5		
T	44.106510000	5.230540000	454.5		
T	44.107440000	5.231430000	461.9		
T	44.107460000	5.231450000	462.2		
T	44.107470000	5.231460000	462.3		
T	44.107580000	5.231560000	463.9		
T	44.107760000	5.231620000	465.7		
T	44.107760000	5.231620000	465.7		
T	44.107810000	5.231490000	465.6		
T	44.107860000	5.231280000	464.9		
T	44.107900000	5.231170000	464.7		
T	44.107900000	5.231170000	464.7		
T	44.108020000	5.231220000	466.1		
T	44.108140000	5.231270000	466.9		
T	44.108140000	5.231270000	466.9		
T	44.108100000	5.231510000	467.6		
T	44.108100000	5.231590000	467.9		
T	44.108110000	5.231650000	468.1		
T	44.108110000	5.231660000	468.2		
T	44.108110000	5.231660000	468.2		
T	44.108140000	5.231700000	468.5		
T	44.108220000	5.231840000	469.5		
T	44.108500000	5.232320000	472.0		
T	44.108880000	5.233110000	476.5		
T	44.108950000	5.233220000	478.2		
T	44.109080000	5.233360000	480.6		
T	44.109120000	5.233430000	481.4		
T	44.109140000	5.233480000	481.9		
T	44.109160000	5.233550000	482.5		
T	44.109550000	5.235280000	493.8		
T	44.109800000	5.235400000	496.6		
T	44.110720000	5.236180000	508.4		
T	44.110910000	5.236390000	510.7		
T	44.111060000	5.236580000	512.2		
T	44.111240000	5.236820000	514.4		
T	44.111330000	5.236960000	515.4		
T	44.111350000	5.236990000	515.8		
T	44.111630000	5.237420000	520.8		
T	44.111800000	5.237680000	523.5		
T	44.111980000	5.237950000	525.0		
T	44.112870000	5.239320000	538.0		
T	44.113200000	5.239820000	542.6		
T	44.113230000	5.239870000	543.3		
T	44.113230000	5.239870000	543.3		
T	44.113330000	5.239820000	542.1		
T	44.113400000	5.239800000	541.9		
T	44.113490000	5.239800000	542.2		
T	44.113490000	5.239800000	542.2		
T	44.113500000	5.239840000	543.1		
T	44.113500000	5.239860000	543.6		
T	44.113510000	5.239870000	543.8		
T	44.113530000	5.239900000	544.5		
T	44.113550000	5.239920000	545.1		
T	44.113580000	5.239940000	545.6		
T	44.113610000	5.239960000	546.1		
T	44.113710000	5.240000000	546.3		
T	44.113780000	5.240040000	546.3		
T	44.113830000	5.240070000	546.4		
T	44.113870000	5.240090000	546.4		
T	44.113950000	5.240140000	546.5		
T	44.114000000	5.240180000	546.7		
T	44.114040000	5.240220000	547.0		
T	44.114080000	5.240260000	547.3		
T	44.114110000	5.240300000	547.9		
T	44.114150000	5.240360000	548.9		
T	44.114210000	5.240430000	549.9		
T	44.114350000	5.240620000	552.5		
T	44.114590000	5.240960000	556.9		
T	44.114720000	5.241140000	558.7		
T	44.114870000	5.241370000	562.5		
T	44.114920000	5.241440000	563.8		
T	44.114970000	5.241490000	564.5		
T	44.115010000	5.241540000	565.2		
T	44.115060000	5.241580000	565.5		
T	44.115110000	5.241630000	566.0		
T	44.115150000	5.241670000	566.5		
T	44.115200000	5.241710000	567.0		
T	44.115260000	5.241750000	567.6		
T	44.115410000	5.241860000	568.7		
T	44.115510000	5.241940000	569.5		
T	44.115600000	5.242000000	569.3		
T	44.115660000	5.242040000	568.9		
T	44.115720000	5.242090000	568.9		
T	44.115770000	5.242130000	568.9		
T	44.115820000	5.242170000	568.9		
T	44.115860000	5.242220000	569.7		
T	44.115910000	5.242260000	570.0		
T	44.115950000	5.242300000	570.3		
T	44.115980000	5.242350000	570.9		
T	44.116020000	5.242390000	571.2		
T	44.116050000	5.242440000	571.8		
T	44.116080000	5.242480000	572.1		
T	44.116110000	5.242520000	572.3		
T	44.116130000	5.242560000	573.1		
T	44.116130000	5.242580000	573.4		
T	44.116140000	5.242610000	574.0		
T	44.116140000	5.242640000	574.4		
T	44.116140000	5.242670000	574.9		
T	44.116140000	5.242700000	575.3		
T	44.116130000	5.242730000	575.6		
T	44.116110000	5.242770000	575.9		
T	44.116090000	5.242820000	577.3		
T	44.116060000	5.242860000	578.5		
T	44.115970000	5.242980000	581.8		
T	44.115880000	5.243110000	584.3		
T	44.115830000	5.243200000	585.6		
T	44.115760000	5.243300000	586.7		
T	44.115670000	5.243460000	587.9		
T	44.115540000	5.243680000	589.6		
T	44.115500000	5.243740000	590.2		
T	44.115480000	5.243800000	590.8		
T	44.115460000	5.243870000	591.5		
T	44.115450000	5.243940000	592.2		
T	44.115440000	5.244000000	592.8		
T	44.115440000	5.244070000	593.4		
T	44.115450000	5.244140000	593.9		
T	44.115470000	5.244210000	594.5		
T	44.115490000	5.244280000	595.2		
T	44.115520000	5.244340000	595.8		
T	44.115560000	5.244400000	596.4		
T	44.115600000	5.244440000	596.8		
T	44.115640000	5.244500000	597.2		
T	44.115800000	5.244680000	597.9		
T	44.116180000	5.245100000	603.6		
T	44.116350000	5.245290000	607.1		
T	44.116510000	5.245480000	609.7		
T	44.116680000	5.245690000	612.1		
T	44.116900000	5.245950000	616.2		
T	44.117110000	5.246180000	618.6		
T	44.117330000	5.246440000	621.1		
T	44.117500000	5.246630000	623.7		
T	44.117670000	5.246820000	627.2		
T	44.117730000	5.246890000	628.2		
T	44.117790000	5.246950000	629.3		
T	44.117850000	5.247000000	630.8		
T	44.117910000	5.247060000	632.2		
