type	latitude	longitude	altitude (m)	name	desc
T	45.763320000	3.118360000	389.7		
T	45.763280000	3.118420000	389.1		
T	45.763240000	3.118480000	388.4		
T	45.763150000	3.118600000	387.2		
T	45.763100000	3.118650000	386.7		
T	45.763050000	3.118710000	386.1		
T	45.763000000	3.118760000	385.6		
T	45.762960000	3.118810000	385.1		
T	45.762860000	3.118890000	384.4		
T	45.762740000	3.118980000	383.6		
T	45.762440000	3.119210000	381.9		
T	45.762230000	3.119380000	381.3		
T	45.761920000	3.119610000	380.3		
T	45.761610000	3.119850000	378.6		
T	45.761500000	3.119940000	377.5		
T	45.761410000	3.120010000	376.6		
T	45.761300000	3.120110000	375.6		
T	45.761210000	3.120190000	374.7		
T	45.761130000	3.120270000	373.9		
T	45.761090000	3.120310000	373.4		
T	45.761010000	3.120410000	372.4		
T	45.760960000	3.120470000	371.7		
T	45.760900000	3.120540000	370.9		
T	45.760810000	3.120670000	369.5		
T	45.760750000	3.120780000	368.5		
T	45.760670000	3.120900000	367.9		
T	45.760610000	3.121020000	367.8		
T	45.760540000	3.121170000	367.7		
T	45.760470000	3.121310000	367.7		
T	45.760330000	3.121570000	367.6		
T	45.760200000	3.121830000	367.5		
T	45.760000000	3.122210000	366.7		
T	45.759820000	3.122560000	366.0		
T	45.758630000	3.124850000	361.2		
T	45.758310000	3.125470000	359.8		
T	45.758020000	3.126020000	357.8		
T	45.757900000	3.126260000	357.5		
T	45.757740000	3.126560000	357.2		
T	45.757640000	3.126760000	357.2		
T	45.757610000	3.126800000	357.1		
T	45.757530000	3.126980000	357.0		
T	45.757470000	3.127060000	357.0		
T	45.757330000	3.127270000	357.1		
T	45.757190000	3.127440000	357.0		
T	45.757170000	3.127480000	357.0		
T	45.757160000	3.127510000	357.0		
T	45.757140000	3.127570000	356.9		
T	45.757140000	3.127570000	356.9		
T	45.757010000	3.127660000	356.8		
T	45.756920000	3.127740000	356.7		
T	45.756840000	3.127800000	356.6		
T	45.756640000	3.127990000	356.5		
T	45.756570000	3.128060000	356.6		
T	45.756380000	3.128250000	357.1		
T	45.756160000	3.128460000	357.8		
T	45.755560000	3.129060000	357.8		
T	45.755460000	3.129160000	357.6		
T	45.755450000	3.129160000	357.6		
T	45.755380000	3.129240000	357.4		
T	45.755260000	3.129350000	357.2		
T	45.755000000	3.129610000	357.0		
T	45.754810000	3.129790000	356.8		
T	45.754610000	3.129980000	356.5		
T	45.754540000	3.130050000	356.5		
T	45.754420000	3.130150000	356.4		
T	45.754320000	3.130240000	356.4		
T	45.754250000	3.130300000	356.4		
T	45.754140000	3.130390000	356.5		
T	45.754030000	3.130480000	356.6		
T	45.754010000	3.130500000	356.7		
T	45.753980000	3.130520000	356.7		
T	45.753930000	3.130560000	356.8		
T	45.753910000	3.130570000	356.8		
T	45.753860000	3.130610000	356.8		
T	45.753830000	3.130640000	356.9		
T	45.753780000	3.130680000	356.9		
T	45.753630000	3.130790000	357.0		
T	45.753600000	3.130810000	357.0		
T	45.753530000	3.130860000	357.0		
T	45.753500000	3.130880000	357.0		
T	45.753340000	3.131010000	357.0		
T	45.753230000	3.131090000	357.2		
T	45.753050000	3.131210000	357.5		
T	45.752980000	3.131260000	357.6		
T	45.752670000	3.131480000	358.0		
T	45.752480000	3.131600000	358.1		
T	45.752420000	3.131630000	358.2		
T	45.752040000	3.131900000	359.6		
T	45.751670000	3.132190000	361.9		
T	45.751570000	3.132270000	362.5		
T	45.751430000	3.132380000	363.1		
T	45.751320000	3.132460000	363.4		
T	45.751090000	3.132650000	363.1		
T	45.750540000	3.133090000	361.6		
T	45.749860000	3.133630000	360.6		
T	45.749620000	3.133820000	360.1		
T	45.749480000	3.133930000	359.8		
T	45.749150000	3.134200000	358.9		
T	45.749000000	3.134320000	358.7		
T	45.748980000	3.134340000	358.6		
T	45.748870000	3.134440000	358.5		
T	45.748590000	3.134680000	358.2		
T	45.748440000	3.134800000	358.1		
T	45.748230000	3.134990000	358.1		
T	45.747580000	3.135560000	356.3		
T	45.747370000	3.135750000	355.9		
T	45.747120000	3.135970000	355.6		
T	45.746020000	3.136940000	358.8		
T	45.745910000	3.137030000	359.5		
T	45.745910000	3.137030000	359.5		
T	45.745850000	3.137070000	359.9		
T	45.745690000	3.137200000	360.4		
T	45.745690000	3.137200000	360.4		
T	45.745530000	3.137340000	360.7		
T	45.745330000	3.137520000	360.8		
T	45.745100000	3.137730000	361.4		
T	45.744730000	3.138070000	362.1		
T	45.744430000	3.138360000	362.3		
T	45.744180000	3.138620000	362.6		
T	45.744010000	3.138760000	362.6		
T	45.743970000	3.138790000	362.6		
T	45.743970000	3.138790000	362.6		
T	45.743950000	3.138780000	362.6		
T	45.743920000	3.138760000	362.6		
T	45.743890000	3.138750000	362.7		
T	45.743870000	3.138740000	362.7		
T	45.743840000	3.138730000	362.7		
T	45.743810000	3.138720000	362.7		
T	45.743780000	3.138710000	362.8		
T	45.743760000	3.138710000	362.8		
T	45.743730000	3.138710000	362.8		
T	45.743710000	3.138710000	362.8		
T	45.743690000	3.138710000	362.8		
T	45.743660000	3.138710000	362.8		
T	45.743640000	3.138710000	362.8		
T	45.743620000	3.138710000	362.8		
T	45.743600000	3.138720000	362.9		
T	45.743570000	3.138730000	362.9		
T	45.743540000	3.138740000	362.9		
T	45.743500000	3.138760000	362.9		
T	45.743470000	3.138780000	362.9		
T	45.743440000	3.138800000	362.9		
T	45.743410000	3.138830000	362.9		
T	45.743380000	3.138860000	363.0		
T	45.743350000	3.138890000	363.0		
T	45.743320000	3.138930000	363.0		
T	45.743310000	3.138950000	363.0		
T	45.743300000	3.138970000	363.0		
T	45.743280000	3.139000000	363.0		
T	45.743270000	3.139020000	363.0		
T	45.743260000	3.139050000	362.9		
T	45.743250000	3.139070000	362.9		
T	45.743240000	3.139100000	362.9		
T	45.743230000	3.139130000	362.9		
T	45.743160000	3.139180000	362.8		
T	45.743130000	3.139190000	362.7		
T	45.743090000	3.139200000	362.6		
T	45.743050000	3.139210000	362.6		
T	45.742990000	3.139210000	362.5		
T	45.742900000	3.139200000	362.4		
T	45.742790000	3.139190000	362.3		
T	45.742620000	3.139170000	362.1		
T	45.742520000	3.139160000	362.0		
T	45.742430000	3.139150000	362.1		
T	45.742350000	3.139140000	362.2		
T	45.742280000	3.139150000	362.3		
T	45.742190000	3.139190000	362.3		
T	45.742170000	3.139190000	362.3		
T	45.742090000	3.139210000	362.3		
T	45.742020000	3.139240000	362.2		
T	45.741750000	3.139340000	361.9		
T	45.741740000	3.139340000	361.9		
T	45.741050000	3.139680000	363.8		
T	45.740660000	3.139880000	365.6		
T	45.740100000	3.140150000	367.9		
T	45.740100000	3.140140000	367.9		
T	45.740100000	3.140130000	367.9		
T	45.740090000	3.140120000	368.0		
T	45.740090000	3.140110000	368.1		
T	45.740080000	3.140110000	368.1		
T	45.740080000	3.140100000	368.2		
T	45.740070000	3.140090000	368.3		
T	45.740070000	3.140080000	368.3		
T	45.740060000	3.140080000	368.4		
T	45.740060000	3.140070000	368.4		
T	45.740050000	3.140070000	368.4		
T	45.740040000	3.140060000	368.5		
T	45.740030000	3.140060000	368.6		
T	45.740020000	3.140060000	368.7		
T	45.740010000	3.140050000	368.8		
T	45.740000000	3.140050000	368.8		
T	45.739990000	3.140050000	368.8		
T	45.739990000	3.140060000	368.8		
T	45.739980000	3.140060000	368.8		
T	45.739970000	3.140060000	368.8		
T	45.739960000	3.140070000	368.8		
T	45.739950000	3.140070000	368.9		
T	45.739950000	3.140080000	368.8		
T	45.739940000	3.140080000	368.8		
T	45.739940000	3.140090000	368.8		
T	45.739930000	3.140100000	368.8		
T	45.739920000	3.140110000	368.8		
T	45.739920000	3.140120000	368.7		
T	45.739910000	3.140130000	368.7		
T	45.739910000	3.140140000	368.7		
T	45.739910000	3.140150000	368.6		
T	45.739900000	3.140160000	368.6		
T	45.739900000	3.140170000	368.6		
T	45.739900000	3.140180000	368.5		
T	45.739900000	3.140190000	368.5		
T	45.739900000	3.140200000	368.4		
T	45.739900000	3.140210000	368.4		
T	45.739900000	3.140220000	368.4		
T	45.739900000	3.140230000	368.3		
T	45.739900000	3.140240000	368.3		
T	45.739910000	3.140250000	368.2		
T	45.739350000	3.140470000	367.5		
T	45.738760000	3.140620000	365.7		
T	45.738600000	3.140660000	365.1		
T	45.738380000	3.140710000	364.5		
T	45.738160000	3.140760000	364.5		
T	45.737940000	3.140830000	364.5		
T	45.737870000	3.140840000	364.5		
T	45.737450000	3.140940000	364.7		
T	45.736770000	3.141110000	367.5		
T	45.736400000	3.141210000	367.8		
T	45.736260000	3.141260000	367.7		
T	45.736200000	3.141280000	367.7		
T	45.736120000	3.141300000	367.7		
T	45.735830000	3.141420000	367.6		
T	45.735370000	3.141630000	368.2		
T	45.735220000	3.141690000	368.4		
T	45.734820000	3.141870000	367.8		
T	45.734240000	3.142100000	366.5		
T	45.734110000	3.142180000	366.4		
T	45.734000000	3.142220000	366.4		
T	45.733900000	3.142270000	366.3		
T	45.733540000	3.142440000	365.5		
T	45.733170000	3.142610000	366.1		
T	45.732720000	3.142800000	368.7		
T	45.732080000	3.143100000	372.5		
T	45.731800000	3.143240000	374.3		
T	45.731470000	3.143430000	375.9		
T	45.731440000	3.143450000	376.0		
T	45.731310000	3.143520000	376.5		
T	45.731290000	3.143530000	376.5		
T	45.731190000	3.143580000	376.9		
T	45.730700000	3.143850000	377.5		
T	45.730640000	3.143890000	377.4		
T	45.730470000	3.143990000	377.2		
T	45.730360000	3.144050000	377.2		
T	45.730340000	3.144070000	377.1		
T	45.730240000	3.144120000	377.2		
T	45.730170000	3.144160000	377.2		
T	45.729250000	3.144690000	379.2		
T	45.729160000	3.144740000	379.3		
T	45.728220000	3.145290000	380.6		
T	45.727650000	3.145620000	380.5		
T	45.727570000	3.145670000	380.5		
T	45.727370000	3.145780000	380.9		
T	45.726460000	3.146320000	381.0		
T	45.726040000	3.146550000	379.6		
T	45.725950000	3.146600000	379.3		
T	45.725880000	3.146640000	379.1		
T	45.725330000	3.146940000	375.2		
T	45.725200000	3.147040000	373.9		
T	45.724800000	3.147300000	371.1		
T	45.724650000	3.147430000	370.3		
T	45.724590000	3.147500000	370.0		
T	45.724570000	3.147510000	370.0		
T	45.724550000	3.147540000	369.8		
T	45.724440000	3.147700000	368.8		
T	45.724410000	3.147760000	368.4		
T	45.724390000	3.147780000	368.3		
T	45.724290000	3.147980000	366.8		
T	45.724090000	3.148390000	363.9		
T	45.724080000	3.148420000	363.8		
T	45.723750000	3.149060000	361.9		
T	45.723720000	3.149120000	361.8		
T	45.723640000	3.149270000	361.5		
T	45.723630000	3.149320000	361.3		
T	45.723480000	3.149610000	360.8		
T	45.723300000	3.150050000	360.1		
T	45.723180000	3.150360000	360.1		
T	45.723150000	3.150450000	360.0		
T	45.723060000	3.150750000	359.9		
T	45.722990000	3.151090000	359.6		
T	45.722920000	3.151670000	358.5		
T	45.722900000	3.151790000	357.9		
T	45.722820000	3.152510000	354.3		
T	45.722810000	3.152570000	354.0		
T	45.722800000	3.152780000	353.0		
T	45.722790000	3.153000000	352.0		
T	45.722760000	3.153190000	351.2		
T	45.722750000	3.153200000	351.2		
T	45.722740000	3.153210000	351.2		
T	45.722730000	3.153230000	351.2		
T	45.722720000	3.153240000	351.2		
T	45.722710000	3.153260000	351.1		
T	45.722700000	3.153270000	351.1		
T	45.722700000	3.153290000	351.0		
T	45.722690000	3.153310000	351.0		
T	45.722690000	3.153330000	350.9		
T	45.722680000	3.153340000	350.9		
T	45.722680000	3.153360000	350.8		
T	45.722680000	3.153380000	350.7		
T	45.722680000	3.153400000	350.7		
T	45.722680000	3.153420000	350.6		
T	45.722680000	3.153440000	350.5		
T	45.722680000	3.153460000	350.4		
T	45.722690000	3.153480000	350.3		
T	45.722690000	3.153500000	350.2		
T	45.722700000	3.153530000	350.1		
T	45.722720000	3.153640000	349.6		
T	45.722720000	3.153760000	349.2		
T	45.722700000	3.153870000	348.8		
T	45.722660000	3.153980000	348.5		
T	45.722590000	3.154060000	348.3		
T	45.722460000	3.154090000	348.7		
T	45.722360000	3.154130000	349.2		
T	45.722220000	3.154200000	349.9		
T	45.722090000	3.154260000	350.6		
T	45.721980000	3.154350000	351.0		
T	45.721910000	3.154410000	351.1		
T	45.721790000	3.154500000	351.3		
T	45.721770000	3.154520000	351.3		
T	45.721720000	3.154560000	351.4		
T	45.721700000	3.154570000	351.4		
T	45.721670000	3.154600000	351.4		
T	45.721580000	3.154680000	351.2		
T	45.721520000	3.154730000	351.1		
T	45.721380000	3.154850000	350.7		
T	45.721230000	3.155030000	349.9		
T	45.721050000	3.155210000	349.5		
T	45.720980000	3.155260000	349.4		
T	45.720950000	3.155260000	349.5		
T	45.720940000	3.155250000	349.5		
T	45.720920000	3.155250000	349.6		
T	45.720890000	3.155250000	349.7		
T	45.720870000	3.155250000	349.7		
T	45.720840000	3.155260000	349.7		
T	45.720800000	3.155270000	349.7		
T	45.720760000	3.155290000	349.7		
T	45.720740000	3.155310000	349.6		
T	45.720730000	3.155320000	349.6		
T	45.720700000	3.155350000	349.5		
T	45.720680000	3.155390000	349.4		
T	45.720550000	3.155380000	349.6		
T	45.720490000	3.155360000	349.8		
T	45.720310000	3.155300000	350.2		
T	45.720170000	3.155260000	350.5		
T	45.719990000	3.155150000	350.8		
T	45.719970000	3.155140000	350.9		
T	45.719810000	3.155020000	351.4		
T	45.719560000	3.154820000	353.2		
T	45.719380000	3.154680000	354.5		
T	45.719000000	3.154410000	356.7		
T	45.718830000	3.154310000	357.5		
T	45.718710000	3.154260000	358.0		
T	45.718660000	3.154240000	358.2		
T	45.718570000	3.154200000	358.5		
T	45.718430000	3.154180000	358.8		
T	45.718310000	3.154160000	359.2		
T	45.718180000	3.154160000	360.2		
T	45.717680000	3.154210000	363.4		
T	45.717370000	3.154240000	364.8		
T	45.717220000	3.154240000	365.2		
T	45.717070000	3.154230000	365.7		
T	45.716960000	3.154230000	365.9		
T	45.716840000	3.154250000	366.1		
T	45.716730000	3.154280000	366.3		
T	45.716660000	3.154300000	366.4		
T	45.716590000	3.154310000	366.5		
T	45.716480000	3.154300000	366.8		
T	45.716470000	3.154280000	367.0		
T	45.716460000	3.154260000	367.1		
T	45.716450000	3.154240000	367.2		
T	45.716430000	3.154230000	367.3		
T	45.716420000	3.154210000	367.4		
T	45.716400000	3.154200000	367.5		
T	45.716380000	3.154190000	367.6		
T	45.716370000	3.154190000	367.6		
T	45.716350000	3.154180000	367.7		
T	45.716330000	3.154180000	367.8		
T	45.716310000	3.154180000	367.8		
T	45.716300000	3.154190000	367.8		
T	45.716280000	3.154190000	367.8		
T	45.716260000	3.154200000	367.8		
T	45.716250000	3.154220000	367.8		
T	45.716230000	3.154230000	367.8		
T	45.716220000	3.154250000	367.7		
T	45.716210000	3.154270000	367.7		
T	45.716200000	3.154290000	367.6		
T	45.716190000	3.154310000	367.6		
T	45.716180000	3.154330000	367.5		
T	45.716110000	3.154380000	367.5		
T	45.716040000	3.154420000	367.5		
T	45.715960000	3.154450000	367.6		
T	45.715800000	3.154510000	367.8		
T	45.715560000	3.154590000	368.0		
T	45.711670000	3.155640000	369.0		
T	45.711270000	3.155760000	370.4		
T	45.710990000	3.155840000	371.4		
T	45.710900000	3.155870000	371.8		
T	45.710880000	3.155870000	371.9		
T	45.710270000	3.156030000	374.9		
T	45.709490000	3.156240000	379.6		
T	45.709070000	3.156320000	382.2		
T	45.708080000	3.156510000	389.1		
T	45.707920000	3.156540000	389.8		
T	45.707580000	3.156640000	390.8		
T	45.707280000	3.156720000	391.5		
T	45.706890000	3.156830000	392.1		
T	45.706630000	3.156890000	392.0		
T	45.706480000	3.156920000	391.0		
T	45.706360000	3.156940000	390.2		
T	45.705920000	3.157060000	387.1		
T	45.705730000	3.157110000	385.8		
T	45.705430000	3.157180000	383.6		
T	45.705310000	3.157220000	382.7		
T	45.704630000	3.157390000	378.2		
T	45.704310000	3.157500000	376.5		
T	45.704030000	3.157610000	376.0		
T	45.703890000	3.157690000	375.9		
T	45.703830000	3.157720000	375.9		
T	45.703560000	3.157880000	375.7		
T	45.703410000	3.157980000	375.5		
T	45.703170000	3.158130000	375.3		
T	45.703110000	3.158180000	375.2		
T	45.703060000	3.158220000	375.2		
T	45.702900000	3.158350000	375.0		
T	45.702870000	3.158420000	375.0		
T	45.702850000	3.158430000	375.0		
T	45.702540000	3.158700000	375.0		
T	45.702110000	3.159070000	375.9		
T	45.701800000	3.159360000	377.5		
T	45.701740000	3.159420000	378.0		
T	45.701130000	3.159910000	380.4		
T	45.701080000	3.159960000	380.7		
T	45.700870000	3.160170000	382.0		
T	45.700830000	3.160200000	382.2		
T	45.700240000	3.160720000	379.7		
T	45.700220000	3.160740000	379.6		
T	45.699740000	3.161150000	377.7		
T	45.699320000	3.161520000	375.7		
T	45.698940000	3.161850000	374.1		
T	45.698550000	3.162190000	371.3		
T	45.698210000	3.162500000	369.3		
T	45.697860000	3.162800000	369.4		
T	45.697770000	3.162890000	369.3		
T	45.697650000	3.162990000	369.1		
T	45.697470000	3.163140000	368.8		
T	45.697210000	3.163360000	369.0		
T	45.697050000	3.163500000	369.2		
T	45.696720000	3.163810000	369.2		
T	45.696690000	3.163820000	369.2		
T	45.696660000	3.163850000	369.2		
T	45.696640000	3.163870000	369.1		
T	45.696580000	3.163930000	369.1		
T	45.695920000	3.164440000	370.0		
T	45.695370000	3.164750000	371.3		
T	45.695360000	3.164750000	371.4		
T	45.695340000	3.164740000	371.4		
T	45.695320000	3.164730000	371.5		
T	45.695310000	3.164720000	371.6		
T	45.695290000	3.164720000	371.6		
T	45.695270000	3.164710000	371.7		
T	45.695260000	3.164710000	371.7		
T	45.695240000	3.164710000	371.8		
T	45.695220000	3.164710000	371.9		
T	45.695210000	3.164710000	371.9		
T	45.695200000	3.164720000	371.9		
T	45.695180000	3.164720000	372.0		
T	45.695170000	3.164730000	372.1		
T	45.695150000	3.164740000	372.1		
T	45.695130000	3.164750000	372.2		
T	45.695120000	3.164760000	372.3		
T	45.695100000	3.164770000	372.3		
T	45.695080000	3.164790000	372.4		
T	45.695070000	3.164800000	372.5		
T	45.695060000	3.164820000	372.5		
T	45.695040000	3.164840000	372.6		
T	45.695030000	3.164860000	372.7		
T	45.695020000	3.164880000	372.8		
T	45.695010000	3.164900000	372.8		
T	45.695000000	3.164920000	372.9		
T	45.695000000	3.164950000	372.9		
T	45.695000000	3.164960000	373.0		
T	45.694990000	3.164970000	373.0		
T	45.694990000	3.165000000	373.0		
T	45.694980000	3.165020000	373.1		
