type	latitude	longitude	altitude (m)	name	desc
T	51.018800000	3.594040000	12.7		
T	51.018370000	3.593460000	11.0		
T	51.018050000	3.593020000	8.9		
T	51.017850000	3.592730000	8.7		
T	51.017730000	3.592530000	9.0		
T	51.017610000	3.592300000	9.0		
T	51.017050000	3.591090000	9.3		
T	51.016470000	3.589840000	9.9		
T	51.016170000	3.589220000	11.7		
T	51.015690000	3.588270000	11.2		
T	51.015120000	3.587200000	10.0		
T	51.015010000	3.586970000	10.0		
T	51.014960000	3.586820000	9.9		
T	51.014830000	3.586570000	9.0		
T	51.014560000	3.586170000	8.6		
T	51.013940000	3.585080000	10.0		
T	51.013650000	3.584600000	10.1		
T	51.013510000	3.584380000	9.6		
T	51.013510000	3.584370000	9.6		
T	51.013520000	3.584360000	9.7		
T	51.013520000	3.584350000	9.7		
T	51.013520000	3.584340000	9.7		
T	51.013520000	3.584330000	9.7		
T	51.013520000	3.584320000	9.7		
T	51.013520000	3.584310000	9.7		
T	51.013520000	3.584300000	9.7		
T	51.013520000	3.584290000	9.7		
T	51.013520000	3.584280000	9.7		
T	51.013520000	3.584270000	9.7		
T	51.013520000	3.584260000	9.7		
T	51.013520000	3.584250000	9.7		
T	51.013520000	3.584240000	9.7		
T	51.013510000	3.584230000	9.6		
T	51.013510000	3.584220000	9.6		
T	51.013510000	3.584210000	9.6		
T	51.013510000	3.584200000	9.6		
T	51.013500000	3.584200000	9.6		
T	51.013500000	3.584190000	9.6		
T	51.013500000	3.584180000	9.6		
T	51.013490000	3.584180000	9.6		
T	51.013490000	3.584170000	9.6		
T	51.013480000	3.584170000	9.5		
T	51.013480000	3.584160000	9.5		
T	51.013470000	3.584150000	9.5		
T	51.013460000	3.584140000	9.5		
T	51.013450000	3.584140000	9.4		
T	51.013450000	3.584130000	9.4		
T	51.013440000	3.584130000	9.4		
T	51.013430000	3.584130000	9.3		
T	51.013420000	3.584130000	9.3		
T	51.013410000	3.584130000	9.3		
T	51.013400000	3.584130000	9.2		
T	51.013390000	3.584130000	9.2		
T	51.013170000	3.583780000	9.4		
T	51.012800000	3.583210000	10.1		
T	51.012710000	3.583090000	9.7		
T	51.012630000	3.582950000	9.5		
T	51.012580000	3.582850000	9.3		
T	51.012420000	3.582530000	8.7		
T	51.012320000	3.582340000	8.4		
T	51.012080000	3.581850000	8.5		
T	51.010790000	3.578440000	9.8		
T	51.010460000	3.577550000	9.3		
T	51.010420000	3.577440000	9.5		
T	51.010240000	3.576950000	11.0		
T	51.010000000	3.576400000	10.0		
T	51.009650000	3.575800000	10.0		
T	51.009500000	3.575590000	10.0		
T	51.009040000	3.575070000	9.5		
T	51.008770000	3.574750000	9.0		
T	51.007640000	3.573470000	9.0		
T	51.007160000	3.572780000	7.0		
T	51.007130000	3.572740000	6.9		
T	51.006960000	3.572430000	6.0		
T	51.006910000	3.572330000	6.1		
T	51.006640000	3.571800000	8.0		
T	51.006520000	3.571500000	8.6		
T	51.006430000	3.571230000	9.6		
T	51.006290000	3.570770000	9.6		
T	51.005970000	3.569700000	11.0		
T	51.005560000	3.568290000	9.0		
T	51.005550000	3.568240000	9.0		
T	51.005020000	3.566350000	7.1		
T	51.004750000	3.565390000	8.2		
T	51.004330000	3.563740000	8.1		
T	51.003670000	3.561020000	9.1		
T	51.002980000	3.558120000	9.8		
T	51.002950000	3.558020000	10.0		
T	51.002230000	3.555020000	11.0		
T	51.002130000	3.554580000	11.3		
T	51.002020000	3.554220000	10.9		
T	51.000820000	3.550110000	10.0		
T	51.000750000	3.549910000	10.3		
T	51.000670000	3.549740000	10.6		
T	51.000600000	3.549600000	10.8		
T	51.000540000	3.549490000	11.0		
T	51.000540000	3.549490000	11.0		
T	51.000560000	3.549440000	11.0		
T	51.000570000	3.549420000	10.9		
T	51.000580000	3.549410000	10.9		
T	51.000600000	3.549390000	10.8		
T	51.000610000	3.549380000	10.8		
T	51.000670000	3.549350000	10.6		
T	51.000670000	3.549350000	10.6		
T	51.000670000	3.549150000	10.6		
T	51.000670000	3.548950000	10.6		
T	51.000660000	3.548790000	10.3		
T	51.000640000	3.548650000	9.8		
T	51.000630000	3.548570000	9.7		
T	51.000610000	3.548470000	9.8		
T	51.000540000	3.548250000	10.0		
T	51.000510000	3.548160000	10.1		
T	51.000480000	3.548070000	10.0		
T	51.000090000	3.546870000	10.0		
T	50.999420000	3.544900000	10.4		
T	50.999060000	3.543830000	10.4		
T	50.997530000	3.539360000	11.7		
T	50.997350000	3.538750000	11.3		
T	50.997260000	3.538350000	11.7		
T	50.997200000	3.538030000	11.1		
T	50.997190000	3.537870000	11.0		
T	50.997180000	3.537760000	10.9		
T	50.997200000	3.537540000	10.1		
T	50.997280000	3.536770000	7.3		
T	50.997350000	3.536220000	6.5		
T	50.997380000	3.536160000	6.4		
T	50.997710000	3.535450000	3.3		
T	50.997710000	3.535450000	3.3		
T	50.997700000	3.535440000	3.3		
T	50.996130000	3.533450000	6.0		
T	50.995640000	3.532830000	5.4		
T	50.994360000	3.531200000	2.7		
T	50.992970000	3.529470000	3.9		
T	50.991290000	3.527380000	5.0		
T	50.989810000	3.525630000	6.0		
T	50.989570000	3.525380000	5.9		
T	50.989180000	3.524890000	6.0		
T	50.989060000	3.524760000	6.0		
T	50.989050000	3.524750000	6.0		
T	50.988950000	3.524640000	6.0		
T	50.988300000	3.523930000	5.2		
T	50.988300000	3.523930000	5.2		
T	50.988390000	3.524330000	5.6		
T	50.988400000	3.524400000	5.8		
T	50.988430000	3.524550000	6.0		
T	50.988470000	3.524700000	6.0		
T	50.988520000	3.524820000	6.1		
T	50.988560000	3.524890000	6.1		
T	50.988610000	3.524930000	6.0		
T	50.988700000	3.524990000	6.0		
T	50.988780000	3.524990000	6.0		
